,Team,Games,W,D,L,Points,League_Position
0,Man City,38,32,4,2,100,1
1,Man United,38,25,6,7,81,2
2,Tottenham,38,23,8,7,77,3
3,Liverpool,38,21,12,5,75,4
4,Chelsea,38,21,7,10,70,5
5,Arsenal,38,19,6,13,63,6
6,Burnley,38,14,12,12,54,7
7,Everton,38,13,10,15,49,8
8,Leicester,38,12,11,15,47,9
9,Crystal Palace,38,11,11,16,44,10
10,Newcastle,38,12,8,18,44,11
11,Bournemouth,38,11,11,16,44,12
12,West Ham,38,10,12,16,42,13
13,Watford,38,11,8,19,41,14
14,Brighton,38,9,13,16,40,15
15,Huddersfield,38,9,10,19,37,16
16,Southampton,38,7,15,16,36,17
17,Stoke,38,7,12,19,33,18
18,Swansea,38,8,9,21,33,19
19,West Brom,38,6,13,19,31,20
